detail_link,thumbnail,title,field,institution,satisfaction,language
https://www.kmooc.kr/view/course/detail/13243,https://lms.kmooc.kr/pluginfile.php/3156100/course/overviewfiles/%EB%B0%95%EA%B8%B0%EC%9B%90_%EA%B5%90%EC%88%98_%EC%84%AC%EB%84%A4%EC%9D%BC_2024-2.jpg,3D 모션캡쳐와 관련 기술의 적용,공학 (컴퓨터 · 통신),인천대학교,4.6,한국어(ko)
https://www.kmooc.kr/view/course/detail/13283,https://lms.kmooc.kr/pluginfile.php/3170834/course/overviewfiles/027.png,ESG를 위한 머신러닝 기초,공학 (컴퓨터 · 통신),성신여자대학교,0.0,한국어(ko)
https://www.kmooc.kr/view/course/detail/13414,https://lms.kmooc.kr/pluginfile.php/3199291/course/overviewfiles/MATLAB%EC%8D%B8%EB%84%A4%EC%9D%BC%20%EC%88%98%EC%A0%95.jpg,MATLAB이용 숫자인식 머신러닝 알고리즘,공학 (컴퓨터 · 통신),대구대학교,4.2,한국어(ko)
https://www.kmooc.kr/view/course/detail/13403,https://lms.kmooc.kr/pluginfile.php/3198007/course/overviewfiles/%EA%B7%B8%EB%A6%BC2.png,감성 인공 지능,공학 (컴퓨터 · 통신),상명대학교,0.0,한국어(ko)
https://www.kmooc.kr/view/course/detail/13432,https://lms.kmooc.kr/pluginfile.php/3201064/course/overviewfiles/%EA%B7%B8%EB%A6%BC1.png,감성디자인,공학 (컴퓨터 · 통신),상명대학교,0.0,한국어(ko)
https://www.kmooc.kr/view/course/detail/13422,https://lms.kmooc.kr/pluginfile.php/3200147/course/overviewfiles/%EA%B7%B8%EB%A6%BC4.png,감성컴퓨팅,공학 (컴퓨터 · 통신),상명대학교,0.0,한국어(ko)
https://www.kmooc.kr/view/course/detail/13424,https://lms.kmooc.kr/pluginfile.php/3200313/course/overviewfiles/%EA%B7%B8%EB%A6%BC5.png,"게임엔진을 이용한 실감콘텐츠(VR, AR) 기획과 개발",공학 (컴퓨터 · 통신),상명대학교,0.0,한국어(ko)
https://www.kmooc.kr/view/course/detail/14120,https://lms.kmooc.kr/pluginfile.php/3292492/course/overviewfiles/2024-2_%28%EC%8D%B8%EB%84%A4%EC%9D%BC%29_%EB%A9%80%ED%8B%B0%EB%AF%B8%EB%94%94%EC%96%B4.png,멀티미디어,공학 (컴퓨터 · 통신),세종대학교,3.8,한국어(ko)
https://www.kmooc.kr/view/course/detail/14121,https://lms.kmooc.kr/pluginfile.php/3292620/course/overviewfiles/2024-2_%28%EC%8D%B8%EB%84%A4%EC%9D%BC%29_%EB%AA%A8%EB%91%90%EB%A5%BC%EC%9C%84%ED%95%9C%EB%A8%B8%EC%8B%A0%EB%9F%AC%EB%8B%9D.png,모두를 위한 머신러닝,공학 (컴퓨터 · 통신),세종대학교,3.7,한국어(ko)
https://www.kmooc.kr/view/course/detail/14128,https://lms.kmooc.kr/pluginfile.php/3293500/course/overviewfiles/2024-2_%28%EC%8D%B8%EB%84%A4%EC%9D%BC%29_%EB%B9%84%EC%A3%BC%EC%96%BC%ED%94%84%EB%A1%9C%EA%B7%B8%EB%9E%98%EB%B0%8D.png,비주얼프로그래밍,공학 (컴퓨터 · 통신),세종대학교,0.0,한국어(ko)
https://www.kmooc.kr/view/course/detail/13453,https://lms.kmooc.kr/pluginfile.php/3203567/course/overviewfiles/%EA%B7%B8%EB%A6%BC8.png,생성 모델과 시각 지능,공학 (컴퓨터 · 통신),상명대학교,0.0,한국어(ko)
https://www.kmooc.kr/view/course/detail/14122,https://lms.kmooc.kr/pluginfile.php/3292813/course/overviewfiles/2024-2_%28%EC%8D%B8%EB%84%A4%EC%9D%BC%29_%EC%83%9D%EC%84%B1%ED%98%95%EC%9D%B8%EA%B3%B5%EC%A7%80%EB%8A%A5%EC%9E%85%EB%AC%B8.png,생성형 인공지능 입문,공학 (컴퓨터 · 통신),세종대학교,3.8,한국어(ko)
https://www.kmooc.kr/view/course/detail/13407,https://lms.kmooc.kr/pluginfile.php/3198429/course/overviewfiles/%EA%B7%B8%EB%A6%BC9.png,생체신호와 데이터 분석,공학 (컴퓨터 · 통신),상명대학교,0.0,한국어(ko)
https://www.kmooc.kr/view/course/detail/13405,https://lms.kmooc.kr/pluginfile.php/3198206/course/overviewfiles/%EC%83%9D%ED%99%9C%EC%86%8D%EC%9D%B8%EA%B3%B5%EC%A7%80%EB%8A%A5%EC%9D%98%EC%9D%B4%ED%95%B4%EB%B0%8F%ED%99%9C%EC%9A%A9-002.jpg,생활 속 인공지능의 이해 및 활용,공학 (컴퓨터 · 통신),대구대학교,3.9,한국어(ko)
